"","Date","Retail and recreation","Grocery and pharmacy","Parks","Transit stations","Workplaces","Residential"
"118","2020-06-11","-35","-14","36","-64","-71","26"
"119","2020-06-12","-32","-5","7","-51","-46","20"
"120","2020-06-13","-35","-16","19","-45","-6","8"
"121","2020-06-14","-37","-22","8","-46","5","4"
"122","2020-06-15","-28","-13","3","-46","-32","15"
"123","2020-06-16","-25","-8","0","-44","-32","15"
"124","2020-06-17","-26","-11","12","-43","-31","14"
"125","2020-06-18","-26","-11","16","-44","-32","14"
"126","2020-06-19","-28","-10","16","-44","-31","14"
"127","2020-06-20","-30","-13","31","-39","-1","5"
"128","2020-06-21","-34","-19","24","-43","5","4"
"129","2020-06-22","-27","-12","27","-45","-33","14"
"130","2020-06-23","-26","-7","16","-44","-32","13"
"131","2020-06-24","-29","-14","23","-48","-40","16"
"132","2020-06-25","-26","-10","16","-44","-32","15"
"133","2020-06-26","-29","-10","12","-44","-31","14"
"134","2020-06-27","-32","-13","11","-41","-4","7"
"135","2020-06-28","-34","-19","19","-44","5","4"
"136","2020-06-29","-24","-12","24","-45","-33","13"
"137","2020-06-30","-20","-5","22","-42","-31","12"
"138","2020-07-01","-19","-5","30","-39","-31","11"
"139","2020-07-02","-18","-4","33","-39","-31","12"
"140","2020-07-03","-22","-4","29","-39","-30","12"
"141","2020-07-04","-25","-8","44","-34","-3","4"
"142","2020-07-05","-29","-15","43","-38","3","1"
"143","2020-07-06","-20","-5","51","-41","-32","11"
"144","2020-07-07","-18","-2","46","-38","-32","11"
"145","2020-07-08","-17","-2","44","-37","-31","11"
"146","2020-07-09","-16","-3","50","-39","-31","11"
"147","2020-07-10","-22","-4","49","-38","-30","11"
"148","2020-07-11","-26","-8","56","-34","-3","3"
"149","2020-07-12","-28","-13","46","-37","3","1"
"150","2020-07-13","-18","-4","62","-40","-31","11"
"151","2020-07-14","-17","-3","49","-39","-32","11"
"152","2020-07-15","-15","-5","68","-36","-30","10"
"153","2020-07-16","-15","-3","79","-38","-31","10"
"154","2020-07-17","-20","-2","72","-38","-30","9"
"155","2020-07-18","-24","-6","68","-32","-4","2"
"156","2020-07-19","-25","-12","47","-35","2","1"
"157","2020-07-20","-14","-1","62","-39","-33","11"
"158","2020-07-21","-14","-2","58","-39","-33","11"
"159","2020-07-22","-14","-3","82","-36","-31","10"
"160","2020-07-23","-12","0","82","-36","-31","10"
"161","2020-07-24","-18","-1","67","-38","-30","10"
"162","2020-07-25","-21","-5","64","-30","-4","2"
"163","2020-07-26","-23","-12","54","-33","2","0"
"164","2020-07-27","-13","0","70","-38","-34","11"
"165","2020-07-28","-11","2","68","-37","-33","10"
"166","2020-07-29","-10","0","92","-35","-33","9"
"167","2020-07-30","-8","3","83","-35","-34","9"
"168","2020-07-31","-13","4","73","-34","-33","9"
"169","2020-08-01","-17","0","65","-25","-6","1"
"170","2020-08-02","-16","-4","55","-28","1","0"
"171","2020-08-03","-4","9","87","-34","-37","10"
"172","2020-08-04","-3","9","101","-33","-37","10"
"173","2020-08-05","-2","7","120","-32","-37","9"
"174","2020-08-06","-1","7","129","-33","-37","9"
"175","2020-08-07","-9","4","97","-33","-37","9"
"176","2020-08-08","-12","-2","87","-24","-8","1"
"177","2020-08-09","-12","-4","67","-26","0","-1"
"178","2020-08-10","2","12","110","-33","-40","10"
"179","2020-08-11","1","10","104","-33","-40","10"
"180","2020-08-12","3","9","108","-32","-40","10"
"181","2020-08-13","2","7","140","-32","-40","9"
"182","2020-08-14","-6","8","111","-32","-39","9"
"183","2020-08-15","-13","-2","93","-24","-20","1"
"184","2020-08-16","-12","-4","60","-24","0","-1"
"185","2020-08-17","-1","12","93","-35","-44","11"
"186","2020-08-18","0","10","108","-34","-42","11"
"187","2020-08-19","-1","8","124","-33","-43","10"
"188","2020-08-20","-3","6","97","-36","-44","11"
"189","2020-08-21","-10","4","111","-34","-43","11"
"190","2020-08-22","-15","-5","96","-23","-10","1"
"191","2020-08-23","-16","-9","76","-26","2","-2"
"192","2020-08-24","-5","5","132","-36","-42","9"
"193","2020-08-25","-4","6","129","-34","-42","9"
"194","2020-08-26","-5","4","137","-33","-41","9"
"195","2020-08-27","-4","4","126","-34","-41","9"
"196","2020-08-28","-12","4","88","-34","-41","10"
"197","2020-08-29","-16","-5","63","-25","-10","1"
"198","2020-08-30","-16","-9","50","-26","3","-1"
"199","2020-08-31","-6","6","78","-33","-37","9"
"200","2020-09-01","-5","8","68","-30","-34","8"
"201","2020-09-02","-6","3","92","-30","-33","7"
"202","2020-09-03","-5","2","102","-31","-34","7"
"203","2020-09-04","-12","1","78","-31","-33","8"
"204","2020-09-05","-15","-5","73","-22","-8","1"
"205","2020-09-06","-16","-7","61","-25","1","-2"
"206","2020-09-07","-8","3","78","-32","-33","8"
"207","2020-09-08","-6","6","73","-30","-32","8"
"208","2020-09-09","-8","3","80","-29","-31","7"
"209","2020-09-10","-6","3","83","-29","-31","6"
"210","2020-09-11","-12","0","68","-29","-31","6"
"211","2020-09-12","-16","-5","65","-23","-6","0"
"212","2020-09-13","-18","-8","35","-27","1","-1"
"213","2020-09-14","-10","1","45","-31","-27","8"
