,Date,Rt,Quantile_2.5_Low,Quantile_97.5_Upper
103,2020-06-20,1.068748576,1.025522025,1.113173094
104,2020-06-21,1.108720997,1.064760619,1.153875037
105,2020-06-22,1.122680686,1.078754878,1.167783035
106,2020-06-23,1.059591918,1.017386503,1.102948751
107,2020-06-24,1.057493224,1.015762556,1.100351497
108,2020-06-25,1.056463643,1.01503653,1.09900291
109,2020-06-26,0.998126116,0.958116989,1.039233853
110,2020-06-27,1.021858638,0.981542458,1.063263974
111,2020-06-28,0.996158195,0.956412855,1.036989708
112,2020-06-29,1.063143309,1.022122558,1.105247182
113,2020-06-30,1.062150011,1.021223783,1.104155343
114,2020-07-01,1.001869896,0.962358567,1.042448186
115,2020-07-02,0.970354122,0.931654579,1.010110802
116,2020-07-03,0.977086652,0.938256854,1.01697328
117,2020-07-04,0.949696453,0.911334724,0.989119914
118,2020-07-05,0.993307488,0.953939536,1.033743948
119,2020-07-06,0.946465494,0.907909182,0.986098252
120,2020-07-07,0.937123068,0.898659888,0.976668408
121,2020-07-08,0.972078973,0.932685719,1.012566145
122,2020-07-09,1.039050825,0.998081574,1.081126174
123,2020-07-10,1.081411541,1.039537699,1.124395062
124,2020-07-11,1.084479249,1.042717161,1.127341818
125,2020-07-12,1.122531221,1.080354364,1.165791779
126,2020-07-13,1.085948049,1.044861862,1.128097448
127,2020-07-14,1.092454353,1.051687281,1.134261581
128,2020-07-15,1.050537457,1.01094016,1.091155493
129,2020-07-16,1.006496635,0.968066761,1.045930354
130,2020-07-17,0.966532104,0.92905466,1.005004135
131,2020-07-18,0.930938887,0.894179634,0.968692043
132,2020-07-19,0.848436908,0.813236081,0.884639159
133,2020-07-20,0.845991406,0.810527576,0.88247492
134,2020-07-21,0.801795483,0.766765711,0.837876255
135,2020-07-22,0.786019954,0.750722984,0.822406352
136,2020-07-23,0.766372013,0.730770444,0.803111528
137,2020-07-24,0.753237015,0.717092608,0.790576056
138,2020-07-25,0.794823761,0.756695407,0.834211926
139,2020-07-26,0.812536017,0.772950795,0.853450251
140,2020-07-27,0.831765849,0.790764548,0.874160543
141,2020-07-28,0.867886883,0.825105022,0.912122649
142,2020-07-29,0.891112392,0.846957876,0.93677551
143,2020-07-30,0.888384063,0.843646581,0.934675874
144,2020-07-31,0.927627174,0.881315926,0.975533086
145,2020-08-01,0.879513767,0.833934428,0.926724419
146,2020-08-02,0.881185864,0.835108248,0.928928033
147,2020-08-03,0.866343833,0.820094325,0.914300367
148,2020-08-04,0.870165145,0.823194303,0.918889673
149,2020-08-05,0.896349769,0.847984175,0.946520397
150,2020-08-06,0.89510134,0.84611773,0.945939983
151,2020-08-07,0.885609292,0.836316043,0.936802477
152,2020-08-08,0.972372568,0.920066133,1.026624889
153,2020-08-09,0.951727309,0.89947867,1.005961186
154,2020-08-10,0.944191752,0.891894985,0.998493976
155,2020-08-11,0.994942769,0.940943757,1.050969273
156,2020-08-12,1.010437309,0.955767854,1.067152807
157,2020-08-13,1.101242643,1.044070799,1.160464483
158,2020-08-14,1.183316606,1.124201194,1.244468968
159,2020-08-15,1.114054199,1.057359175,1.172740562
160,2020-08-16,1.089502035,1.034283236,1.146652112
161,2020-08-17,1.057187928,1.003423729,1.112839184
162,2020-08-18,1.020809067,0.968444691,1.075027879
163,2020-08-19,1.077040216,1.02351624,1.132398472
164,2020-08-20,1.049825677,0.997222492,1.104247019
